Puesto,Nombre,Anyo_nac,Club,Tiempo,Pts,Prueba,M_F,Fecha,Piscina,Competicion,Lugar,Edad,Temporada,Time_stamp
3,"ANGUAS FELIZ, Aquiles",11,E.M. El Olivar,1:29.94,149,100m Mariposa,M,2023-03-26,25m,"Benjamín, jornada 5",E.M. El Olivar,12,2022-2023,1900-01-01 00:01:29.940
4,"SERRABLO HUESO, Diego",11,Stadium Venecia,1:29.97,149,100m Mariposa,M,2023-03-26,25m,"Benjamín, jornada 5",E.M. El Olivar,12,2022-2023,1900-01-01 00:01:29.970
5,"ANTONENKO ANTONENKO, Yehor",11,H2ogo C.N.,1:30.91,145,100m Mariposa,M,2023-03-26,25m,"Benjamín, jornada 5",E.M. El Olivar,12,2022-2023,1900-01-01 00:01:30.910
6,"SANCHO GRAUS, Bruno",11,E.M. El Olivar,1:33.72,132,100m Mariposa,M,2023-03-26,25m,"Benjamín, jornada 5",E.M. El Olivar,12,2022-2023,1900-01-01 00:01:33.720
7,"BELTRAN VIEJO, Arturo",11,E.M. El Olivar,1:35.04,127,100m Mariposa,M,2023-03-26,25m,"Benjamín, jornada 5",E.M. El Olivar,12,2022-2023,1900-01-01 00:01:35.040
8,"MODREGO MARQUETA, Alejandro",11,Stadium Venecia,1:35.23,126,100m Mariposa,M,2023-03-26,25m,"Benjamín, jornada 5",E.M. El Olivar,12,2022-2023,1900-01-01 00:01:35.230
9,"CAVERO GARCIA, Daniel",11,Stadium Casablanca,1:38.59,113,100m Mariposa,M,2023-03-26,25m,"Benjamín, jornada 5",E.M. El Olivar,12,2022-2023,1900-01-01 00:01:38.590
10,"POLO MARTINEZ, Nicolas",11,C.N. Helios,1:38.88,112,100m Mariposa,M,2023-03-26,25m,"Benjamín, jornada 5",E.M. El Olivar,12,2022-2023,1900-01-01 00:01:38.880
11,"LAFUENTE GARCIA, Victor",11,C.N. Helios,1:41.42,104,100m Mariposa,M,2023-03-26,25m,"Benjamín, jornada 5",E.M. El Olivar,12,2022-2023,1900-01-01 00:01:41.420
12,"TATARU, Adrian Stefan",11,E.M. El Olivar,1:42.39,101,100m Mariposa,M,2023-03-26,25m,"Benjamín, jornada 5",E.M. El Olivar,12,2022-2023,1900-01-01 00:01:42.390
13,"BEAMONTE MARTIN, Diego",11,P. San Agustin,1:44.54,95,100m Mariposa,M,2023-03-26,25m,"Benjamín, jornada 5",E.M. El Olivar,12,2022-2023,1900-01-01 00:01:44.540
14,"GARCIA DE LA SERNA, Alejandro",11,C.N. Helios,1:46.69,89,100m Mariposa,M,2023-03-26,25m,"Benjamín, jornada 5",E.M. El Olivar,12,2022-2023,1900-01-01 00:01:46.690
15,"BORROY SANCHEZ, Martin",11,Stadium Casablanca,1:52.02,77,100m Mariposa,M,2023-03-26,25m,"Benjamín, jornada 5",E.M. El Olivar,12,2022-2023,1900-01-01 00:01:52.020
16,"NAVARRO PARDOS, Francisco",11,H2ogo C.N.,1:56.91,68,100m Mariposa,M,2023-03-26,25m,"Benjamín, jornada 5",E.M. El Olivar,12,2022-2023,1900-01-01 00:01:56.910
17,"ALCALDE MARTINEZ, Martin",11,C.N. Helios,2:02.06,59,100m Mariposa,M,2023-03-26,25m,"Benjamín, jornada 5",E.M. El Olivar,12,2022-2023,1900-01-01 00:02:02.060
18,"JIMENEZ VICO, Pedro",11,C.N. Helios,2:29.20,32,100m Mariposa,M,2023-03-26,25m,"Benjamín, jornada 5",E.M. El Olivar,12,2022-2023,1900-01-01 00:02:29.200
19,"QUINTANILLA CARBAJO, Amaro",11,H2ogo C.N.,2:41.13,26,100m Mariposa,M,2023-03-26,25m,"Benjamín, jornada 5",E.M. El Olivar,12,2022-2023,1900-01-01 00:02:41.130
1,"LERSUNDI GOMEZ, Mia",14,E.M. El Olivar,47.61,134,50m Mariposa,F,2023-03-26,25m,"Benjamín, jornada 5",E.M. El Olivar,9,2022-2023,1900-01-01 00:00:47.610
2,"SALUDAS TRICAS, Carlota",14,E.M. El Olivar,48.47,127,50m Mariposa,F,2023-03-26,25m,"Benjamín, jornada 5",E.M. El Olivar,9,2022-2023,1900-01-01 00:00:48.470
3,"DIEZ FERNANDEZ, Almudena",14,H2ogo C.N.,48.64,125,50m Mariposa,F,2023-03-26,25m,"Benjamín, jornada 5",E.M. El Olivar,9,2022-2023,1900-01-01 00:00:48.640
4,"HERNANDO TRANCHE, Vega",14,Stadium Venecia,52.80,98,50m Mariposa,F,2023-03-26,25m,"Benjamín, jornada 5",E.M. El Olivar,9,2022-2023,1900-01-01 00:00:52.800
5,"GIMENO MONREAL, Victoria",14,E.M. El Olivar,54.25,90,50m Mariposa,F,2023-03-26,25m,"Benjamín, jornada 5",E.M. El Olivar,9,2022-2023,1900-01-01 00:00:54.250
6,"FERNANDEZ ELIAS, Jimena",14,E.M. El Olivar,55.66,84,50m Mariposa,F,2023-03-26,25m,"Benjamín, jornada 5",E.M. El Olivar,9,2022-2023,1900-01-01 00:00:55.660
7,"VELA GARCIA, Julia",14,Stadium Venecia,55.92,82,50m Mariposa,F,2023-03-26,25m,"Benjamín, jornada 5",E.M. El Olivar,9,2022-2023,1900-01-01 00:00:55.920
8,"POLO BELLIDO, Daniela",14,E.M. El Olivar,56.30,81,50m Mariposa,F,2023-03-26,25m,"Benjamín, jornada 5",E.M. El Olivar,9,2022-2023,1900-01-01 00:00:56.300
9,"BAGUENA ANTON, Carmen",14,Stadium Venecia,56.54,80,50m Mariposa,F,2023-03-26,25m,"Benjamín, jornada 5",E.M. El Olivar,9,2022-2023,1900-01-01 00:00:56.540
10,"MARTINEZ DE SALINAS PEÑA, Candela",14,E.M. El Olivar,56.94,78,50m Mariposa,F,2023-03-26,25m,"Benjamín, jornada 5",E.M. El Olivar,9,2022-2023,1900-01-01 00:00:56.940
11,"CABRERIZO VELA, Carla",14,Stadium Venecia,57.13,77,50m Mariposa,F,2023-03-26,25m,"Benjamín, jornada 5",E.M. El Olivar,9,2022-2023,1900-01-01 00:00:57.130
12,"ADIEGO PARDILLOS, Ursula",14,E.M. El Olivar,58.26,73,50m Mariposa,F,2023-03-26,25m,"Benjamín, jornada 5",E.M. El Olivar,9,2022-2023,1900-01-01 00:00:58.260
13,"BARRACHINA ARTAZCOZ, Ane",14,E.M. El Olivar,1:00.03,66,50m Mariposa,F,2023-03-26,25m,"Benjamín, jornada 5",E.M. El Olivar,9,2022-2023,1900-01-01 00:01:00.030
14,"RUBIO GONZALEZ, Martina",14,P. San Agustin,1:02.54,59,50m Mariposa,F,2023-03-26,25m,"Benjamín, jornada 5",E.M. El Olivar,9,2022-2023,1900-01-01 00:01:02.540
15,"SCHROPFER CALVO, Adriana",14,H2ogo C.N.,1:04.04,55,50m Mariposa,F,2023-03-26,25m,"Benjamín, jornada 5",E.M. El Olivar,9,2022-2023,1900-01-01 00:01:04.040
16,"MORENO LLORENTE, Vega",14,C.N. Iz Cuarte,1:04.42,54,50m Mariposa,F,2023-03-26,25m,"Benjamín, jornada 5",E.M. El Olivar,9,2022-2023,1900-01-01 00:01:04.420
17,"BUENO RODRIGO, Alicia",14,H2ogo C.N.,1:04.56,53,50m Mariposa,F,2023-03-26,25m,"Benjamín, jornada 5",E.M. El Olivar,9,2022-2023,1900-01-01 00:01:04.560
18,"SANCHEZ DUARTE, Eleonor",14,Stadium Venecia,1:08.16,45,50m Mariposa,F,2023-03-26,25m,"Benjamín, jornada 5",E.M. El Olivar,9,2022-2023,1900-01-01 00:01:08.160
19,"BAIGES FERNANDEZ, Anna",14,P. San Agustin,1:08.20,45,50m Mariposa,F,2023-03-26,25m,"Benjamín, jornada 5",E.M. El Olivar,9,2022-2023,1900-01-01 00:01:08.200
20,"BENITEZ CABEZUDO, Leonor",14,E.M. El Olivar,1:08.72,44,50m Mariposa,F,2023-03-26,25m,"Benjamín, jornada 5",E.M. El Olivar,9,2022-2023,1900-01-01 00:01:08.720
21,"SANCHEZ ROYO, Sofia",14,E.M. El Olivar,1:10.84,40,50m Mariposa,F,2023-03-26,25m,"Benjamín, jornada 5",E.M. El Olivar,9,2022-2023,1900-01-01 00:01:10.840
22,"BUENO RODRIGO, Laura",14,H2ogo C.N.,1:13.50,36,50m Mariposa,F,2023-03-26,25m,"Benjamín, jornada 5",E.M. El Olivar,9,2022-2023,1900-01-01 00:01:13.500
23,"LOPEZ HERNANDEZ, Paola",14,C.N. Iz Cuarte,1:25.39,23,50m Mariposa,F,2023-03-26,25m,"Benjamín, jornada 5",E.M. El Olivar,9,2022-2023,1900-01-01 00:01:25.390
1,"MALO SANCHEZ, Paula",13,C.N. Helios,1:32.64,204,100m Mariposa,F,2023-03-26,25m,"Benjamín, jornada 5",E.M. El Olivar,10,2022-2023,1900-01-01 00:01:32.640
2,"RODRIGUEZ SOLANAS, Ines",13,E.M. El Olivar,1:43.11,148,100m Mariposa,F,2023-03-26,25m,"Benjamín, jornada 5",E.M. El Olivar,10,2022-2023,1900-01-01 00:01:43.110
3,"PEREZ GARCIA, Leyre",13,C.D. Piratas Teruel,1:46.86,133,100m Mariposa,F,2023-03-26,25m,"Benjamín, jornada 5",E.M. El Olivar,10,2022-2023,1900-01-01 00:01:46.860
4,"MARTIN SORIA, Claudia",13,Stadium Venecia,1:48.69,126,100m Mariposa,F,2023-03-26,25m,"Benjamín, jornada 5",E.M. El Olivar,10,2022-2023,1900-01-01 00:01:48.690
5,"PEREZ LAHUERTA, Candela",13,C.N. Helios,1:48.82,126,100m Mariposa,F,2023-03-26,25m,"Benjamín, jornada 5",E.M. El Olivar,10,2022-2023,1900-01-01 00:01:48.820
6,"MARTINEZ MARQUES, Aimar Teresa",13,Stadium Venecia,1:49.70,123,100m Mariposa,F,2023-03-26,25m,"Benjamín, jornada 5",E.M. El Olivar,10,2022-2023,1900-01-01 00:01:49.700
7,"MALON CANTIN, Sofia",13,C.N. Helios,1:52.70,113,100m Mariposa,F,2023-03-26,25m,"Benjamín, jornada 5",E.M. El Olivar,10,2022-2023,1900-01-01 00:01:52.700
8,"ALONSO TELLERIA, Marina",13,P. San Agustin,1:54.94,107,100m Mariposa,F,2023-03-26,25m,"Benjamín, jornada 5",E.M. El Olivar,10,2022-2023,1900-01-01 00:01:54.940
9,"GIMENO GOMEZ, Yaretzi Izel",13,P. San Agustin,1:58.04,98,100m Mariposa,F,2023-03-26,25m,"Benjamín, jornada 5",E.M. El Olivar,10,2022-2023,1900-01-01 00:01:58.040
10,"REMACHA ROYO, Itziar",13,E.M. El Olivar,1:59.19,96,100m Mariposa,F,2023-03-26,25m,"Benjamín, jornada 5",E.M. El Olivar,10,2022-2023,1900-01-01 00:01:59.190
11,"RODRIGO MONFORTE, Lucia",13,E.M. El Olivar,1:59.54,95,100m Mariposa,F,2023-03-26,25m,"Benjamín, jornada 5",E.M. El Olivar,10,2022-2023,1900-01-01 00:01:59.540
12,"LEAL PELEGRIN, Julieta",13,E.M. El Olivar,2:00.82,92,100m Mariposa,F,2023-03-26,25m,"Benjamín, jornada 5",E.M. El Olivar,10,2022-2023,1900-01-01 00:02:00.820
13,"DEL BARRIO MIGUEL, Vera",13,Stadium Venecia,2:02.22,89,100m Mariposa,F,2023-03-26,25m,"Benjamín, jornada 5",E.M. El Olivar,10,2022-2023,1900-01-01 00:02:02.220
14,"ZAPATA FERNANDEZ, Jara",13,Stadium Venecia,2:05.02,83,100m Mariposa,F,2023-03-26,25m,"Benjamín, jornada 5",E.M. El Olivar,10,2022-2023,1900-01-01 00:02:05.020
15,"MARIN PELEGRIN, Sara",13,H2ogo C.N.,2:09.16,75,100m Mariposa,F,2023-03-26,25m,"Benjamín, jornada 5",E.M. El Olivar,10,2022-2023,1900-01-01 00:02:09.160
16,"BORREGUERO PEDREIRA, Leire",13,E.M. El Olivar,2:10.54,73,100m Mariposa,F,2023-03-26,25m,"Benjamín, jornada 5",E.M. El Olivar,10,2022-2023,1900-01-01 00:02:10.540
17,"SEGURA GRACIA, Silvia",13,E.M. El Olivar,2:11.32,71,100m Mariposa,F,2023-03-26,25m,"Benjamín, jornada 5",E.M. El Olivar,10,2022-2023,1900-01-01 00:02:11.320
18,"SALUEÑA LUCHA, Vera",13,C.N. Helios,2:11.85,70,100m Mariposa,F,2023-03-26,25m,"Benjamín, jornada 5",E.M. El Olivar,10,2022-2023,1900-01-01 00:02:11.850
19,"RODRIGO LORENTE, Claudia",13,Stadium Venecia,2:15.31,65,100m Mariposa,F,2023-03-26,25m,"Benjamín, jornada 5",E.M. El Olivar,10,2022-2023,1900-01-01 00:02:15.310
20,"MARIN PELEGRIN, Julia",13,H2ogo C.N.,2:17.91,62,100m Mariposa,F,2023-03-26,25m,"Benjamín, jornada 5",E.M. El Olivar,10,2022-2023,1900-01-01 00:02:17.910
21,"ARANDA ARIAS, Marta",13,C.N. Iz Cuarte,2:21.20,57,100m Mariposa,F,2023-03-26,25m,"Benjamín, jornada 5",E.M. El Olivar,10,2022-2023,1900-01-01 00:02:21.200
22,"NACHER PEREZ, Laia",13,C.N. Iz Cuarte,2:24.10,54,100m Mariposa,F,2023-03-26,25m,"Benjamín, jornada 5",E.M. El Olivar,10,2022-2023,1900-01-01 00:02:24.100
23,"ABAD PELLEJERO, Ines",13,Stadium Casablanca,2:25.75,52,100m Mariposa,F,2023-03-26,25m,"Benjamín, jornada 5",E.M. El Olivar,10,2022-2023,1900-01-01 00:02:25.750
24,"MARIN CORTES, Nerea",13,Stadium Venecia,2:28.44,49,100m Mariposa,F,2023-03-26,25m,"Benjamín, jornada 5",E.M. El Olivar,10,2022-2023,1900-01-01 00:02:28.440
